Disease ID,Disease Name,Baseline R@100,Augmented R@100,Improvement,Baseline MRR,Augmented MRR
C0015625,Fanconi Anemia,0.0,0.0,0.0,0.0003172215726744413,0.0006877864889800118
C0015695,Fatty Liver,0.04,0.04,0.0,0.002269076264403833,0.0034226519131119225
C0015934,Fetal Growth Retardation,0.0,0.0,0.0,0.0005360835763503963,0.0005694188519826215
C0015967,Fever,0.0,0.05,0.05,0.0004980345384348966,0.0015828805731549656
C0016059,Fibrosis,0.1,0.075,-0.02500000000000001,0.0024995600444805135,0.0039537437114477315
C0017178,Gastrointestinal Diseases,0.0,0.0,0.0,0.00046342528166736245,0.00023065073175947614
C0017601,Glaucoma,0.0,0.0,0.0,0.0001322852566984811,0.0002293474441647059
C0017636,Glioblastoma,0.03333333333333333,0.03333333333333333,0.0,0.003148717726069116,0.0014548076239826791
C0017638,Glioma,0.047619047619047616,0.04523809523809523,-0.0023809523809523864,0.009374448043644597,0.006384878974810358
C0017639,Gliosis,0.1,0.15,0.04999999999999999,0.002660617456793171,0.004866069998249543
C0017658,Glomerulonephritis,0.26666666666666666,0.21666666666666665,-0.05000000000000002,0.014180829499968286,0.01493745585586782
C0017661,IGA Glomerulonephritis,0.01168327796234773,0.018604651162790697,0.0069213732004429675,0.0008370563693885141,0.001097618336541017
C0017668,Focal glomerulosclerosis,0.05,0.05,0.0,0.003261338264900494,0.0027640644254654676
C0018099,Gout,0.0,0.0,0.0,0.00029231842783109517,0.0003715467219336653
C0018213,Graves Disease,0.0,0.0,0.0,0.000559915861065894,0.00034515951134074237
C0018273,Growth Disorders,0.0,0.0,0.0,0.0004149480975898116,0.0005763274473718926
C0018621,Hay fever,0.0,0.0,0.0,0.0001285835344820067,7.979523476419898e-05
C0018671,Head and Neck Neoplasms,0.1,0.1,0.0,0.004596929857949839,0.00262121065197374
C0018772,"Hearing Loss, Partial",0.0,0.0,0.0,0.00021150517092226824,0.00022875595009491998
C0018798,Congenital Heart Defects,0.0,0.0,0.0,0.0003083439847262104,0.0002658530380148591
C0018799,Heart Diseases,0.025,0.025,0.0,0.0013251660441394736,0.001294426010775276
C0018800,Cardiomegaly,0.07857142857142856,0.12380952380952381,0.04523809523809526,0.005786890335100879,0.005275032458460447
C0018801,Heart failure,0.0,0.0125,0.0125,0.0008716428717093362,0.0011528080388949766
C0018824,Heart valve disease,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.0017980381206778493,0.004439699316170695
C0018843,Heat Stroke,0.2,0.2,0.0,0.004299137676014088,0.006351402129350574
C0018923,Hemangiosarcoma,0.25,0.2,-0.04999999999999999,0.0062127566239994604,0.00625663198837389
C0018995,Hemochromatosis,0.0,0.0,0.0,0.0003795823423077715,0.00046925368123665356
C0019080,Hemorrhage,0.0,0.0,0.0,0.0007644233732998704,0.0017479564118830046
C0019151,Hepatic Encephalopathy,0.1,0.1,0.0,0.001754348538490971,0.0027036727749298454
C0019158,Hepatitis,0.0,0.0,0.0,0.0005143501400107291,0.0008072026524074167
C0019163,Hepatitis B,0.0,0.0,0.0,0.0003134297839160691,0.00023396118210335025
C0019189,"Hepatitis, Chronic",0.03333333333333333,0.08333333333333333,0.049999999999999996,0.0014223215768707658,0.0018919204763326585
C0019196,Hepatitis C,0.0,0.0,0.0,0.0008147494027726344,0.0009376986930539815
C0019202,Hepatolenticular Degeneration,0.0,0.03333333333333333,0.03333333333333333,0.0006577846840995161,0.0016018024300180958
C0019284,Diaphragmatic Hernia,0.025,0.0,-0.025,0.00088578081389236,0.0008290231397851261
C0019569,Hirschsprung Disease,0.0,0.0,0.0,0.000715554393555648,0.0004187546096450289
C0019693,HIV Infections,0.07111111111111112,0.061111111111111116,-0.010000000000000009,0.003196474620845804,0.009103576971172006
C0019829,Hodgkin Disease,0.1,0.1,0.0,0.002185085191674253,0.0021462080456002824
C0020179,Huntington Disease,0.0,0.0,0.0,0.0005131090370933565,0.00040399740005583033
C0020429,Hyperalgesia,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.01841815745643217,0.018607809271366675
C0020437,Hypercalcemia,0.0,0.0,0.0,0.0003174621420302347,0.0002519276704629489
C0020443,Hypercholesterolemia,0.0,0.0,0.0,0.0003436963504541932,0.00023566889450855823
C0020445,"Hypercholesterolemia, Familial",0.0,0.0,0.0,0.0007721185479994516,0.0007413033676501874
C0020452,Hyperemia,0.0,0.0,0.0,0.000579553381891961,0.0010891403451425466
C0020456,Hyperglycemia,0.05,0.15,0.09999999999999999,0.0015995849116935072,0.0028514377746224804
C0020459,Hyperinsulinism,0.0,0.1,0.1,0.0007257472487578899,0.0028024144329151517
C0020473,Hyperlipidemia,0.0,0.0,0.0,0.0008442486978010625,0.0009032151627651078
C0020507,Hyperplasia,0.06666666666666667,0.06666666666666667,0.0,0.001690148817949094,0.002046837817785024
C0020517,Hypersensitivity,0.20714285714285713,0.24047619047619045,0.033333333333333326,0.02295168027267521,0.021027127459991427
C0020538,Hypertensive disease,0.021637426900584796,0.0327485380116959,0.011111111111111106,0.001660741694024469,0.001700977667024661
